word1,word2,label
계좌이체할거야,계좌이체페이지,1
계좌이체할거야,상품메인페이지,0
계좌이체할거야,전체계좌페이지,0
계좌이체할거야,거래내역조회페이지,0
계좌이체할거야,확인,0
계좌이체할거야,취소,0
계좌이래할래,계좌이체페이지,1
계좌이체할래,상품메인페이지,0
계좌이체할래,전체계좌페이지,0
계좌이체할래,거래내역조회페이지,0
계좌이체할래,확인,0
계좌이체할래,취소,0
계좌이체,계좌이체페이지,1
계좌이체,상품메인페이지,0
계좌이체,전체계좌페이지,0
계좌이체,거래내역조회페이지,0
계좌이체,확인,0
계좌이체,취소,0
계좌이체하기,계좌이체페이지,1
계좌이체하기,상품메인페이지,0
계좌이체하기,전체계좌페이지,0
계좌이체하기,거래내역조회페이지,0
계좌이체하기,확인,0
계좌이체하기,취소,0
이체,계좌이체페이지,1
이체,상품메인페이지,0
이체,전체계좌페이지,0
이체,거래내역조회페이지,0
이체,확인,0
이체,취소,0
이체할래,계좌이체페이지,1
이체할래,상품메인페이지,0
이체할래,전체계좌페이지,0
이체할래,거래내역조회페이지,0
이체할래,확인,0
이체할래,취소,0
이체하기,계좌이체페이지,1
이체하기,상품메인페이지,0
이체하기,전체계좌페이지,0
이체하기,거래내역조회페이지,0
이체하기,확인,0
이체하기,취소,0
계좌이체진행,계좌이체페이지,1
계좌이체진행,상품메인페이지,0
계좌이체진행,전체계좌페이지,0
계좌이체진행,거래내역조회페이지,0
계좌이체진행,확인,0
계좌이체진행,취소,0
이체할거야,계좌이체페이지,1
이체할거야,상품메인페이지,0
이체할거야,전체계좌페이지,0
이체할거야,거래내역조회페이지,0
이체할거야,확인,0
이체할거야,취소,0
돈보낼래,계좌이체페이지,1
돈보낼래,상품메인페이지,0
돈보낼래,전체계좌페이지,0
돈보낼래,거래내역조회페이지,0
돈보낼래,확인,0
돈보낼래,취소,0
이체할게,계좌이체페이지,1
이체할게,상품메인페이지,0
이체할게,전체계좌페이지,0
이체할게,거래내역조회페이지,0
이체할게,확인,0
이체할게,취소,0
송금할게,계좌이체페이지,1
송금할게,상품메인페이지,0
송금할게,전체계좌페이지,0
송금할게,거래내역조회페이지,0
송금할게,확인,0
송금할게,취소,0
돈보낼게,계좌이체페이지,1
돈보낼게,상품메인페이지,0
돈보낼게,전체계좌페이지,0
돈보낼게,거래내역조회페이지,0
돈보낼게,확인,0
돈보낼게,취소,0
돈쏘기,계좌이체페이지,1
돈쏘기,상품메인페이지,0
돈쏘기,전체계좌페이지,0
돈쏘기,거래내역조회페이지,0
돈쏘기,확인,0
돈쏘기,취소,0
돈보내기,계좌이체페이지,1
돈보내기,상품메인페이지,0
돈보내기,전체계좌페이지,0
돈보내기,거래내역조회페이지,0
돈보내기,확인,0
돈보내기,취소,0
송금하기,계좌이체페이지,1
송금하기,상품메인페이지,0
송금하기,전체계좌페이지,0
송금하기,거래내역조회페이지,0
송금하기,확인,0
송금하기,취소,0
이체진행,계좌이체페이지,1
이체진행,상품메인페이지,0
이체진행,전체계좌페이지,0
이체진행,거래내역조회페이지,0
이체진행,확인,0
이체진행,취소,0
이체할래요,계좌이체페이지,1
